Benchmark,Strategy,Ret_mean,Ret_std,BWT_mean,BWT_std,Acq_mean,Acq_std,Hmean,N
Split-MNIST,SGD,0.0040,0.0015,-0.9675,0.0020,0.9357,0.0018,0.0079,5
Split-MNIST,Frozen,0.9710,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,5
Split-MNIST,EWC,0.1004,0.0101,-0.8702,0.0099,0.9313,0.0065,0.1812,5
Split-MNIST,Replay,0.8444,0.0152,-0.1263,0.0148,0.9201,0.0035,0.8806,5
Split-MNIST,EGPR,0.8568,0.0379,-0.1136,0.0378,0.7055,0.0364,0.7738,5
Split-MNIST,EGPR (tuned),0.8682,0.0153,-0.1025,0.0152,0.7187,0.0278,0.7864,5
Split-MNIST,EGPR (no dH/dt),0.9022,0.0104,-0.0681,0.0108,0.6274,0.0257,0.7401,5
Split-MNIST,EGPR (no DMP),0.6871,0.0405,-0.2841,0.0407,0.7861,0.0103,0.7332,5
Split-MNIST,EGPR+Replay,0.9502,0.0017,-0.0208,0.0020,0.5791,0.0131,0.7196,5
Split-MNIST,EGPR+Replay (tuned),0.9263,0.0064,-0.0453,0.0066,0.7556,0.0118,0.8323,5
Permuted-MNIST,SGD,0.8644,0.0062,-0.0212,0.0056,0.8900,0.0048,0.8770,5
Permuted-MNIST,Frozen,0.8798,0.0045,0.0000,0.0000,0.0998,0.0084,0.1793,5
Permuted-MNIST,EWC,0.8768,0.0037,-0.0098,0.0059,0.8890,0.0045,0.8829,5
Permuted-MNIST,Replay,0.8498,0.0176,-0.0276,0.0208,0.8886,0.0039,0.8688,5
Permuted-MNIST,EGPR,0.8800,0.0009,-0.0024,0.0034,0.4742,0.0251,0.6163,5
Permuted-MNIST,EGPR (tuned),0.8772,0.0035,-0.0034,0.0052,0.6418,0.0296,0.7413,5
Permuted-MNIST,EGPR (no dH/dt),0.8778,0.0057,-0.0038,0.0026,0.4886,0.0251,0.6278,5
Permuted-MNIST,EGPR (no DMP),0.8798,0.0029,-0.0030,0.0009,0.5118,0.0077,0.6471,5
Permuted-MNIST,EGPR+Replay,0.8818,0.0034,-0.0008,0.0026,0.4892,0.0277,0.6293,5
Permuted-MNIST,EGPR+Replay (tuned),0.8824,0.0053,0.0010,0.0045,0.6450,0.0207,0.7453,5
Rotated-MNIST,SGD,0.3160,0.0128,-0.5624,0.0123,0.8956,0.0038,0.4672,5
Rotated-MNIST,Frozen,0.8852,0.0034,0.0000,0.0000,0.2626,0.0076,0.4050,5
Rotated-MNIST,EWC,0.3418,0.0138,-0.5368,0.0130,0.8656,0.0298,0.4901,5
Rotated-MNIST,Replay,0.4900,0.0119,-0.3932,0.0137,0.8834,0.0029,0.6304,5
Rotated-MNIST,EGPR,0.5850,0.0149,-0.2956,0.0121,0.5634,0.0085,0.5740,5
Rotated-MNIST,EGPR (tuned),0.5894,0.0117,-0.2946,0.0117,0.5580,0.0116,0.5733,5
Rotated-MNIST,EGPR (no dH/dt),0.8164,0.0046,-0.0626,0.0081,0.3228,0.0057,0.4627,5
Rotated-MNIST,EGPR (no DMP),0.5486,0.0174,-0.3342,0.0182,0.5868,0.0172,0.5671,5
Rotated-MNIST,EGPR+Replay,0.6354,0.0255,-0.2494,0.0255,0.5144,0.0116,0.5685,5
Rotated-MNIST,EGPR+Replay (tuned),0.5972,0.0344,-0.2842,0.0356,0.5928,0.0458,0.5950,5
Split-FashionMNIST,SGD,0.0926,0.0145,-0.7564,0.0136,0.9171,0.0012,0.1681,5
Split-FashionMNIST,Frozen,0.8550,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,5
Split-FashionMNIST,EWC,0.1149,0.0235,-0.7381,0.0249,0.9191,0.0024,0.2042,5
Split-FashionMNIST,Replay,0.7209,0.0337,-0.1353,0.0347,0.8543,0.0168,0.7819,5
Split-FashionMNIST,EGPR,0.3912,0.0177,-0.4638,0.0233,0.7628,0.0235,0.5172,5
Split-FashionMNIST,EGPR (tuned),0.6375,0.0786,-0.2160,0.0780,0.6416,0.0484,0.6395,5
Split-FashionMNIST,EGPR (no dH/dt),0.6453,0.0442,-0.2052,0.0534,0.6033,0.0366,0.6236,5
Split-FashionMNIST,EGPR (no DMP),0.2600,0.0089,-0.5937,0.0141,0.8158,0.0098,0.3943,5
Split-FashionMNIST,EGPR+Replay,0.8158,0.0076,-0.0407,0.0069,0.6352,0.0122,0.7143,5
Split-FashionMNIST,EGPR+Replay (tuned),0.8141,0.0082,-0.0276,0.0280,0.6843,0.0051,0.7436,5
Split-CIFAR10,SGD,0.0000,0.0000,-0.5354,0.0240,0.6551,0.0439,0.0000,5
Split-CIFAR10,Frozen,0.5547,0.0302,0.0000,0.0000,0.0000,0.0000,0.0000,5
Split-CIFAR10,EWC,0.0000,0.0000,-0.5131,0.0347,0.6336,0.0142,0.0000,5
Split-CIFAR10,Replay,0.1422,0.0308,-0.3610,0.0525,0.5848,0.0942,0.2287,5
Split-CIFAR10,EGPR,0.1908,0.0383,-0.3649,0.0561,0.3224,0.0536,0.2398,5
Split-CIFAR10,EGPR (tuned),0.2994,0.0262,-0.2359,0.0419,0.3020,0.0105,0.3007,5
Split-CIFAR10,EGPR (no dH/dt),0.0285,0.0120,-0.5546,0.0204,0.4545,0.0265,0.0537,5
